name,daughters,sons,source
"Alagiri, Shri Sambandam Keerapalayam",5,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4548
"Amlabe, Shri Narayan Singh",3,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4253
"Anandan, Shri K. Murugesan",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4539
"Ananth Kumar, Shri",2,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=20
"Angadi, Shri Suresh Chanabasappa",2,0,http://en.wikipedia.org/wiki/Suresh_Angadi
"Annayyagari, Shri Sai Prathap",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3235
"Antony, Shri Anto",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4571
"Anuragi, Shri Ghanshyam",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4286
"Argal, Shri Ashok",0,4,http://en.wikipedia.org/wiki/Ashok_Chhaviram_Argal
"Aron, Shri Praveen Singh.",2,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4276
"Awale, Shri Jayawant Gangaram",2,2,http://en.wikipedia.org/wiki/Jaywantrao_Awale
"Azad, Shri Kirti (Jha)",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=25
"Azharuddin, Shri Mohammed",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4265
"Baalu, Thiru Thalikkottai Rajuthevar",2,3,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=26
"Baba, Shri K.C. Singh",1,2,http://en.wikipedia.org/wiki/K._C._Singh_Baba
"Babar, Shri Gajanan Dharmshi",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4382
"Babbar, Shri Raj",1,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=28
"Badal, Smt. Harsimrat Kaur",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4433
"Baghel, Smt. Sarika Devendra Singh",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4272
"Bairwa, Shri Khiladi Lal",3,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4405
"Bais, Shri Ramesh",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=33
"Baite, Shri Thangso",3,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4351
"Baitha, Shri Kameshwar",1,3,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4330
"Bajwa, Sardar Partap Singh",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4427
"Bakshi, Shri Subrata",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4578
"Baliram, Dr.",3,1,http://en.wikipedia.org/wiki/Bali_Ram
"Balmiki, Shri Kamlesh",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4270
"Bandyopadhyay, Shri Sudip",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=38
"Banerjee, Shri Ambica",2,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4496
"Banerjee, Shri Kalyan",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4498
"Bansal, Shri Pawan Kumar",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=42
"Barq, Shri Shafiqur Rahman",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3657
"Basavaraj, Shri Gangasandra Siddappa",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=46
"Basheer, Shri E. T. Mohammed",1,3,http://en.wikipedia.org/wiki/E._T._Mohammed_Basheer
"Baske, Dr. Pulin Bihari",1,1,http://en.wikipedia.org/wiki/Pulin_Bihari_Baske
"Bauri, Smt. Susmita",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4193
"Bavaliya, Shri Kunwarjibhai Mohanbhai",2,1,http://en.wikipedia.org/wiki/Kunwarjibhai_Mohanbhai_Bavaliya
"Beg, (Dr.) Mirza Mehboob",2,1,http://en.wikipedia.org/wiki/Mirza_Mehboob_Beg
"Besra, Shri Devidhan",2,3,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4344
"Bhadana, Shri Avtar Singh",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=52
"Bhagat, Shri Sudarshan",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4329
"Bhagora, Shri Tarachand",2,2,http://www.hindustanpages.com/shri-tarachand-bhagora-mp-loksabha-banswara-rajasthan
"Bhoi, Shri Sanjay",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4361
"Bhonsle, Shri Udayanraje Pratapsingh",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4389
"Bhujbal, Shri Sameer Magan",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4377
"Bhuria, Shri Kantilal",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=58
"Biju, Shri Parayamparanbil Kuttappan",0,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4563
"Bishnoi, Shri Kuldeep",1,2,http://en.wikipedia.org/wiki/Kuldeep_Bishnoi
"Biswal, Shri Hemanand",5,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4416
"Botcha, Dr. (Smt.) Jhansi Lakshmi",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4218
"Bundela, Shri Jeetendra Singh",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4510
"Bwiswmuthiary, Shri Sansuma Khunggur",0,4,http://en.wikipedia.org/wiki/Sansuma_Khunggur_Bwiswmuthiary
"Chacko, Shri P.C.",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3477
"Chakravarty, Smt. Bijoya",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=69
"Chang, Shri Chongshen Mongkosungkum",5,5,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4368
"Chaudhary, Dr. Tushar Amarsinh",1,1,http://en.wikipedia.org/wiki/Tushar_Amarsinh_Chaudhary
"Chaudhary, Shri Arvind Kumar",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4299
"Chaudhary, Shri Jayant",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4273
"Chauhan, Shri Sanjay Singh",1,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4263
"Chauhan, Shri Dara Singh",2,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4304
"Chauhan, Shri Prabhatsinh Pratapsinh",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4449
"Chauhan, Smt. Raj Kumari",0,4,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4271
"Chauhan, Dr. Mahendrasinh Pruthvisinh",2,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4443
"Chavan, Shri Harischandra Deoram",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3991
"Chidambaram, Shri Palaniappan",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3000
"Chinta Mohan, Dr.",1,1,http://en.wikipedia.org/wiki/Chinta_Mohan
"Chitthan, Shri N.S.V.",3,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4063
"Choudhary, Shri Harish",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4257
"Choudhary, Shri Bhudeo",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4476
"Choudhary, Shri Nikhil Kumar",1,3,http://en.wikipedia.org/wiki/Nikhil_Kumar_Choudhary
"Choudhry, Smt. Shruti",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4254
"Choudhury, Shri Abu Hasem Khan",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4212
"Chowdhary, Smt. Santosh",4,0,http://mohfw.nic.in/index1.php?lang=1&level=3&sublinkid=2932&lid=2249
"Chowdhury, Shri Adhir Ranjan",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=97
"Chowdhury, Shri Bansa Gopal",0,2,http://en.wikipedia.org/wiki/Bansa_Gopal_Chowdhury
"Danve, Shri Raosaheb Patil",3,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=316
"Das, Shri Ram Sundar",1,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3489
"Das, Shri Khagen",2,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3957
"Das, Shri Bhakta Charan",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3264
"Dasgupta, Shri Gurudas",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4088
"Dasmunsi, Smt. Deepa",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4481
"Dastidar, Dr. (Smt.) Kakoli Ghosh",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4489
"De(Nag), Dr. (Smt.) Ratna",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4499
"Deka, Shri Ramen",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4437
"Deo, Shri V. Kishore Chandra",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=2354
"Deora, Shri Milind Murli",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4052
"Deshmukh, Shri K. D.",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4515
"Devegowda, Shri H.D.",2,4,http://en.wikipedia.org/wiki/H._D._Deve_Gowda
"Devi, Smt. Ashwamedh",0,4,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4464
"Dhanapalan, Shri K. P.",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4564
"Dhotre, Shri Sanjay Shamrao",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3992
"Dhruvanarayana, Shri Rangaswamy",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4342
"Dhurve, Smt. Jyoti",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4522
"Dias, Dr. Charles",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4573
"Dikshit, Shri Sandeep",0,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4076
"Dome, Dr. Ram Chandra",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=115
"Dubey, Shri Nishikant",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4324
"Dudhgaonkar, Shri Ganeshrao Nagorao",1,1,http://164.100.47.132/LssNew/Members/former_Biography.aspx?mpsno=4376
"Dutt, Smt. Priya Sunil",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4210
"Elangovan, Shri T.K.S.",2,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4533
"Engti, Shri Biren Singh",1,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=2084
"Ering, Shri Ninong",2,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4367
"Gaddigoudar, Shri Parvatagouda Chandanagouda",1,3,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3984
"Gadhvi, Shri Mukesh Bhairavdanji",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4440
"Gaikwad, Shri Eknath Mahadeo",2,2,http://en.wikipedia.org/wiki/Eknath_Gaikwad
"Gandhi, Shri Feroze Varun",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4277
"Gandhi, Shri Rahul",0,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4074
"Gandhi, Smt. Sonia",1,1,http://en.wikipedia.org/wiki/Sonia_Gandhi
"Gandhi, Shri Dilip Kumar Mansukhlal",1,2,http://en.wikipedia.org/wiki/Dilipkumar_Gandhi
"Gandhi, Smt. Maneka",0,1,http://en.wikipedia.org/wiki/Maneka_Gandhi
"Gandhiselvan, Shri S.",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4540
"Ganeshamurthi, Shri A.",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3857
"Gavit, Shri Manikrao Hodlya",4,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=133
"Gawali (Patil), Ms. Bhavana",0,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=135
"Geete, Shri Anant Gangaram",0,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=136
"Ghatowar, Shri Paban Singh",1,1,http://en.wikipedia.org/wiki/Paban_Singh_Ghatowar
"Ghubaya, Shri Sher Singh",2,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4432
"Gogoi, Shri Dip",0,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3956
"Gohain, Shri Rajen",3,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=143
"Gowda, Shri Chandre D.B.",4,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=2099
"Guddu, Shri Prem Chand",3,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4256
"Gulshan, Smt. Paramjit Kaur",2,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4131
"Gutha, Shri Sukender Reddy",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=375
"Haldar, Dr. Sucharu Ranjan",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4485
"Handique, Shri Bijoy Krishna",3,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=149
"Haque, Prof. Sk. Saidul",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4505
"Hari, Shri Sabbam",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4525
"Harsha Kumar, Shri G.V.",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4017
"Hasan, Begum Tabassum",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4261
"Hassan, Dr. Monazir",1,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4466
"Hazari, Shri Maheshwar",1,3,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4465
"Hegde, Shri Jayaprakash Korgi",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4579
"Hegde, Shri Anant Kumar Dattatreya",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3688
"Helen, Smt. Davidson J.",2,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4557
"Hooda, Shri Deepender Singh",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4207
"Hossain, Shri Abdul Mannan",2,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4196
"Hussain, Shri Ismail",2,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4572
"Hussain, Shri Syed Shahnawaz",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=152
"Islam, Shri Sk. Nurul",0,4,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4490
"Jadhav, Shri Baliram Sukur",3,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4384
"Jadhav, Shri Prataprao Ganpatrao",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4373
"Jagannath, Dr. M.",1,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=156
"Jagathrakshakan, Shri S.",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=157
"Jahan, Smt. Kaisar",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4281
"Jain Aditya, Shri Pradeep Kumar",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4287
"Jaiswal, Shri Gorakh Prasad",3,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4302
"Jaiswal, Shri Sriprakash",1,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=164
"Jaiswal, Dr. Sanjay",2,2,http://en.wikipedia.org/wiki/Madan_Prasad_Jaiswal
"Jakhar, Shri Badri Ram",2,3,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4409
"Jardosh, Smt. Darshana Vikram",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4451
"Jat, Smt. Poonam Veljibhai",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4439
"Jatua, Shri Choudhury Mohan",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4492
"Jawale, Shri Haribhau Madhav",2,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4225
"Jena, Shri Mohan",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4140
"Jena, Shri Srikant Kumar",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3294
"Jeyadurai, Shri S. R.",3,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4554
"Jigajinagi, Shri Ramesh Chandappa",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=170
"Jindal, Shri Naveen",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4041
"Joshi, Shri Pralhad Venkatesh",3,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3982
"Joshi, Dr. C. P.",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4414
"Joshi, Dr. Mahesh",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4402
"Joshi, Shri Kailash",3,3,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3989
"Joshi, Dr. Murli Manohar",2,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=172
"Judeo, Shri Dilip Singh",0,3,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3297
"Kachhadia, Shri Naranbhai",1,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4448
"Kalmadi, Shri Suresh",2,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3697
"Kamal Nath, Shri",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=175
"Kamat, Shri Gurudas",0,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3051
"Kanumuri, Shri Bapi Raju",1,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3842
"Karunakaran, Shri P.",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4178
"Karwariya, Shri Kapil Muni",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4291
"Kashyap, Shri Dinesh",1,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4576
"Kashyap, Shri Virender",1,3,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4298
"Kaswan, Shri Ram Singh",3,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=181
"Kataria, Shri Lalchand",2,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4401
"Kateel, Shri Nalin Kumar",2,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4316
"Katheria, Shri Premdas",2,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4284
"Katoch, Smt. Chandresh Kumari",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=2994
"Katti, Shri Ramesh Vishwanath",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4296
"Kaur, Smt. Preneet",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=186
"Kaypee, Shri Mohinder Singh",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4428
"Khaire, Shri Chandrakant Bhaurao",2,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=189
"Khan, Shri Hassan",2,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=191
"Khandela, Shri Mahadeo Singh",0,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4400
"Kharge, Shri Mallikarjun",2,3,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4315
"Khatri, Dr. Nirmal",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3059
"Khurshid, Shri Salman",1,3,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3523
"Killi, Dr. (Smt.) Kruparani",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4524
"Kishor, Shri Kamal",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4294
"Kodikunnil, Shri Suresh",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=477
"Kora, Shri Madhu",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4328
"Kowase, Shri Marotrao Sainuji",3,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4372
"Krishnasswamy, Shri M.",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3526
"Kumar, Shri Kaushalendra",1,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4467
"Kumar, Shri Shailendra",2,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3870
"Kumar, Shri P.",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4546
"Kumar, Dr. (Shri) Ajay",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4577
"Kumar, Smt. Meira",2,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3066
"Kumar, Shri Vishwa Mohan",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4458
"Kumar, Shri Ramesh",3,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4336
"Kumaraswamy, Shri H.D.",0,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3711
"Kurup, Shri N. Peethambara",0,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4568
"Lagadapati, Shri Rajagopal",0,3,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4020
"Laguri, Shri Yashbant Narayan Singh",1,1,http://nocorruption.in/mps/yashbant-narayan-singh-laguri/
"Lal, Shri Pakauri",5,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4310
"Lalu Prasad, Shri",7,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=2439
"Libra, Shri Sukhdev Singh",3,3,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4128
"Lingam, Shri P.",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4555
"Lodhi, Shri Shivraj Singh",3,4,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4509
"Maadam, Shri Vikrambhai Arjanbhai",1,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4034
"Mahajan, Smt. Sumitra",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=220
"Mahant, Dr. Charan Das",3,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=222
"Maharaj, Shri Satpal",0,2,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=3717
"Mahato, Shri Narahari",1,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4214
"Mahtab, Shri Bhartruhari",1,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=225
"Mahto, Shri Baidyanath Prasad",1,3,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4454
"Majhi, Shri Pradeep",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4420
"Majumdar, Shri Prasanta Kumar",0,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4482
"Maken, Shri Ajay",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4075
"Malik, Shri Sakti Mohan",1,1,http://en.wikipedia.org/wiki/Sakti_Mohan_Malik
"Malik, Shri Jitender Singh",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4332
"Mandal, Dr. Tarun",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4491
"Mandal, Shri Mangani Lal",4,4,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4457
"Mandlik, Shri Sadashivrao Dadoba",3,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=236
"Mani, Shri Jose K.",2,1,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4566
"Manian, Shri O. S.",2,0,http://archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4550
