name,daughters,sons,source
"Aaroon Rasheed, Shri J.M.",2,2,http://en.wikipedia.org/wiki/J._M._Aaroon_Rashid
"Abdul Rahman, Shri",1,2,http://en.wikipedia.org/wiki/Abdul_Rahman_(politician)
"Abdullah, Dr. Farooq",3,1,http://en.wikipedia.org/wiki/Farooq_Abdullah
"Acharia, Shri Basudeb",2,1,http://en.wikipedia.org/wiki/Basudeb_Acharia
"Adhalrao Patil, Shri Shivaji",,2,http://en.wikipedia.org/wiki/Shivajirao_Adhalarao_Patil
"Adhi Sankar, Shri",1,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=6
"Adhikari, Shri Sisir Kumar",0,4,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4502
"Adhikari, Shri Suvendu",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4501
"Adityanath, Shri Yogi",0,0,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=7
"Adsul, Shri Anandrao",2,1,http://en.wikipedia.org/wiki/Anandrao_Vithoba_Adsul
"Advani, Shri Lal Krishna",1,1,http://en.wikipedia.org/wiki/L._K._Advani
"Agarwal, Shri Jai Prakash",0,2,http://www.jaiprakashagarwal.com/family.htm/
"Agrawal, Shri Rajendra",1,1,http://en.wikipedia.org/wiki/Rajendra_Agrawal
"Ahamed, Shri E.",1,2,http://en.wikipedia.org/wiki/E._Ahamed
"Ahir, Shri Hansraj Gangaram",0,2,http://en.wikipedia.org/wiki/Hansraj_Gangaram_Ahir
"Ahmed, Shri Sultan",0,2,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4497
"Ajmal, Maulana Badruddin",1,6,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4436
"Ajnala, Dr. Rattan Singh",0,2,http://en.wikipedia.org/wiki/Rattan_Singh_Ajnala
"Alagiri, Shri M. K.",2,1,http://www.archive.india.gov.in/govt/loksabhampbiodata.php?mpcode=4551
